题号,题目(正面),答案(背面),题型
11,关于表组（Tablegroup）说法正确的是： A、将经常一起关联查询的表放入同一个表组，可以减少分布式事务。 B、分区表可以放入表组中，要求所有表的分区方式一致。 C、非分区表也可以放入表组中。 D、表组不能跨租户存在。,"正确答案：A、B、C、D

官方解析
选项 A：正确（应选）
将强关联表加入表组，使对应数据分区调度放置在相同节点，跨表关联转化为本地 Join，跨表修改转化为本地事务，减少跨机 RPC 与 2PC 开销。

选项 B：正确（应选）
分区表加入同一个表组需保证分区规则对齐（分区类型、数量与边界定义一致）。

选项 C：正确（应选）
非分区表同样可以加入表组，保证多表调度在同一 OBServer 上。

选项 D：正确（应选）
Tablegroup 属于租户级数据库对象，不同租户之间完全隔离，严禁跨租户存在。",多选题
12,OceanBase数据库提供的导数工具包含： A、OBLOADER B、ODC C、LOAD DATA D、OBDUMPER,"正确答案：A、B、D

官方解析
选项 A：OBLOADER（OceanBase Loader）—— 正确（应选）
官方高性能命令行数据导入工具，支持 CSV、TXT、SQL 格式高速并发导入。

选项 B：ODC（OceanBase Developer Center）—— 正确（应选）
官方企业级可视化开发平台，内置图形化数据导入与导出功能。

选项 C：LOAD DATA —— 属于 SQL 命令/语法，非独立客户端导数工具。

选项 D：OBDUMPER（OceanBase Dumper）—— 正确（应选）
官方高性能命令行数据导出工具，支持导出 DDL 及 CSV/SQL 数据文件。",多选题
13,通过OCP对于OceanBase数据库SQL诊断可以完成以下哪些操作？ A. SQL改写 B. 查看SQL执行计划 C. SQL性能分析 D. SQL执行结果查看,"正确答案：B、C

官方解析
选项 A：SQL 改写 —— 错误（不选）。OCP SQL 诊断用于分析监控，不直接在线改写应用业务 SQL。
选项 B：查看 SQL 执行计划 —— 正确（应选）。可查看历史执行计划树、算子详情及 Outline 信息。
选项 C：SQL 性能分析 —— 正确（应选）。提供耗时拆解（CPU、排队、网络时间）、执行次数、扫描与返回行数等全维度分析。
选项 D：SQL 执行结果查看 —— 错误（不选）。出于数据安全合规隔离，OCP 绝不保存和展示业务数据查询结果集。",多选题
14,通过OCP管理OceanBase数据库集群扩容，包括以下哪些操作？ A. 增加Zone B. 增加OBServer C. 增加CPU硬件 D. 修改Zone,"正确答案：A、B

官方解析
选项 A：增加 Zone —— 正确（应选）。用于提升容灾架构等级（如三 Zone 扩为五 Zone）并扩展副本分布。
选项 B：增加 OBServer —— 正确（应选）。在指定 Zone 下添加节点服务器，属于标准集群横向扩展（Scale-Out），自动均衡分片。
选项 C：增加 CPU 硬件 —— 错误（不选）。属于底层物理/虚拟硬件层面的变更，非 OCP 集群管理菜单功能。
选项 D：修改 Zone —— 错误（不选）。属于属性维护操作，不属于扩容。",多选题
15,通过OCP管理租户资源扩容，包括以下哪些操作？ A. 调大Unit的CPU/Memory配置 B. 增加Zone C. 增加OBServer D. 增加租户的Unit数量 (Unit Num),"正确答案：A、D

官方解析
租户资源扩容包含两种标准途径：
选项 A：垂直扩容（Scale-Up）—— 调大 Unit 的 CPU/Memory 配置（修改绑定的 Unit Config 规格）。
选项 D：水平扩容（Scale-Out）—— 增加租户的 Unit 数量（调大 UNIT_NUM），增加租户分布的节点数与并行度。
选项 B、C 属于集群层面的架构调整与节点扩容，非直接的租户资源扩容操作。",多选题
16,OCP Agent包含以下哪些核心进程？ A. ocp_agentd B. ocp_mgragent C. ocp_proxy D. ocp_monagent,"正确答案：A、B、D

官方解析
OCP Agent 包含 3 个核心组件进程：
A. ocp_agentd：守护进程（Daemon），负责管理拉起 mgragent 和 monagent 及健康维护。
B. ocp_mgragent：运维管理进程，负责接收执行来自 OCP Server 下发的运维任务流。
C. ocp_proxy：错误，不存在此进程（OBProxy 是独立的数据库代理中间件）。
D. ocp_monagent：监控采集进程，负责采集主机及数据库实例运行指标上报。",多选题
17,通过OCP可对主机进行哪些操作？ A. 安装OCP Agent B. 重启主机服务 C. 停止主机服务 D. 删除主机,"正确答案：A、B、C、D

官方解析
在 OCP 主机管理模块中提供全生命周期的主机管理操作：
A. 安装 OCP Agent（纳管主机 / 重装 / 升级 Agent）。
B. 重启主机服务（重启主机上的 OCP Agent 服务进程）。
C. 停止主机服务（停止 OCP Agent 服务进程）。
D. 删除主机（下线节点后移出主机并清理元数据）。",多选题
18,通过OCP可对租户进行哪些操作？ A. 创建新租户 B. 租户资源扩缩容 C. 删除租户 D. 查看租户监控拓扑,"正确答案：A、B、C、D

官方解析
OCP 提供对租户的全生命周期管理操作：
A. 创建新租户（可视化配置模式、字符集、Locality、Primary Zone 及规格）。
B. 租户资源扩缩容（调整 Unit 规格或 Unit Num）。
C. 删除租户（销毁租户并释放资源池与存储空间）。
D. 查看租户监控拓扑（直观展示副本分布、连接数、QPS/TPS 及性能看板）。",多选题
19,系统内置视图oceanbase.gv$OB_SQL_AUDIT包含以下哪些信息? A.SQL类型及执行次数 B.SQL的执行计划 C.等待的时间及次数 D.执行统计信息,"正确答案：A、C、D

官方解析
选项 A：SQL 类型及执行次数 —— 视图包含 SQL_TYPE 及单次执行记录（聚合分析可得执行次数）。
选项 B：SQL 的执行计划 —— 错误，视图仅记录 PLAN_ID/PLAN_TYPE 及是否命中计划缓存，不包含完整的执行计划算子树。
选项 C：等待的时间及次数 —— 正确，记录 TOTAL_WAIT_TIME_MICRO、QUEUE_TIME、TOTAL_WAITS、EVENT 等。
选项 D：执行统计信息 —— 正确，记录 ELAPSED_TIME、CPU_TIME、NET_TIME、AFFECTED_ROWS、RETURN_ROWS 等。",多选题
20,"关于SHARDING模式为PARTITION和TABLEGROUP,下列说法正确的是： A、要求表组内所有表的分区方式必须相同 B、要求表组内所有表的分区数量必须相同 C、表组内所有表的分区会聚集在相同的OBserver节点上 D、如果不将表放在一个表组里，即使全都是单表查询,也是一个跨机事务","正确答案：A、B、C

官方解析
选项 A：正确（应选）。当 SHARDING = 'PARTITION' 时，表组内所有表的一级分区方式必须相同。
选项 B：正确（应选）。要求所有表的分区数量及边界定义完全相同以实现分区对齐。
选项 C：正确（应选）。通过分区对齐将同号分区绑定至同一日志流与物理 OBServer 节点。
选项 D：错误（不选）。单表单分区读写属于单机本地事务，并非跨机事务。",多选题
21,以下哪些是 OceanBase 的架构特性? A 原生分布式架构 B 存储分布式一体化 C 支持多租户架构 D 能很好聚成 OLAP 和 OLTP 执行引擎,"正确答案：A、C、D

官方解析
选项 A：原生分布式架构 —— 正确（底层代码自主研发 Shared-Nothing 原生分布式架构）。
选项 B：存储分布式一体化 —— 错误（官方标准定位是“单机分布式一体化架构”）。
选项 C：支持多租户架构 —— 正确（物理资源严格隔离、兼容 MySQL/Oracle 双模式）。
选项 D：能很好集成 OLAP 和 OLTP 执行引擎 —— 正确（HTAP 混合负载，行级高并发事务与分布式并行分析一体化）。",多选题
22,以下哪些是OceanBase分布式数据库的优势? A 数据不丢失 B 自动故障恢复 C 高性价比 D 支持超大规模业务集群,"正确答案：A、B、C、D

官方解析
OceanBase 四大核心优势：
A. 数据不丢失（RPO = 0，基于 Multi-Paxos 多数派共识日志同步）。
B. 自动故障恢复（RTO < 8s，秒级自动选主切主）。
C. 高性价比（LSM-Tree 高压缩比节约 70% 存储 + 原生多租户资源复用 + PC 普通硬件部署）。
D. 支持超大规模业务集群（Shared-Nothing 线性横向扩展）。",多选题
23,"在OceanBase V4 版本,租户的类型包含哪些? A 临时租户 B 用户租户 C Meta租户 D 系统租户","正确答案：B、C、D

官方解析
OceanBase V4.x 包含三大租户类型：
B. 用户租户（User Tenant）：供业务实际使用，支持 MySQL 模式与 Oracle 模式。
C. Meta 租户（META$xxx）：V4.x 核心新特性，与用户租户 1:1 伴生，专职管理该租户私有元数据。
D. 系统租户（sys 租户）：集群全局管理租户。
不存在临时租户（A 项错误）。",多选题
24,OceanBase数据库的多租户架构主要实现了哪些隔离? A 资源隔离 B 数据隔离 C 权限和权限管理 D 操作系统隔离,"正确答案：A、B、C

官方解析
OceanBase 内核原生多租户实现三大隔离维度：
A. 资源隔离：CPU、内存、I/O 调度与存储配额隔离。
B. 数据隔离：独立 Schema、独立表空间、私有日志流与事务上下文。
C. 权限和权限管理：独立的用户、角色与授权体系。
D 项错误：多租户在 observer 进程内部轻量级实现，共享操作系统内核与进程。",多选题
25,以下哪个选项是OceanBase数据库SQL引擎的特性? A 支持标准 SQL 语法 B 高度兼容 MySQL和Oracle 数据库 C 提供分布式事务服务 D 支持在线DDL操作,"正确答案：A、B、D

官方解析
选项 A：支持标准 SQL 语法 —— 正确（全面支持 ANSI SQL 标准）。
选项 B：高度兼容 MySQL 和 Oracle 数据库 —— 正确（双模式语法与生态深度兼容）。
选项 C：提供分布式事务服务 —— 错误（分布式 2PC、MVCC、GTS 等属于事务引擎/存储层职责）。
选项 D：支持在线 DDL 操作 —— 正确（Online DDL 在表结构变更时不阻塞业务并发读写）。",多选题
26,"在OceanBase数据库中,关于转储和合并的说法,下面哪些是正确的? A 转储是将MemTable中的数据写入到磁盘的过程 B 合并是将当前数据及生成的多个级别的ssTable数据进行归并,形成新的基线SSTable的过程 C 转储由系统自动触发,并在集群统一执行; D 合并只能手动触发,无法自动触发,并在集群统一执行","正确答案：A、B

官方解析
选项 A：正确（转储将冻结的 MemTable 刷入磁盘生成 Minor SSTable 释放内存）。
选项 B：正确（合并归并基线与增量 SSTable 生成新基线 Major SSTable 并深度压缩）。
选项 C：错误（转储由各节点本地独立执行，不需要在全集群统一协同执行）。
选项 D：错误（合并支持每日低峰期系统自动定时触发，也支持手动触发）。",多选题
27,"OceanBase数据库使用LSM Tree作为存储结构能带来哪些好处? A、能够对数据加密,保证数据安全 B、能够将随机写转为顺序写,从而保护SSD硬盘的寿命 C、数据更新及插入在内存中,通过批量转储和合并等操作顺序写入磁盘,提高写操作性能 D、

使用 Key-Value 的存储结构,能够很好的支持压缩,提供高压缩比,节约存储成本","正确答案：B、C、D

官方解析
选项 A：错误（透明数据加密 TDE 与底层存储引擎结构无关）。
选项 B：正确（写内存 + 批量顺序写落盘，消除随机写小 I/O，延长 SSD 寿命）。
选项 C：正确（DML 全部在内存完成，批量异步落盘，极大提升写入吞吐与写性能）。
选项 D：正确（磁盘基线 SSTable 静态只读，支持高级编码与通用压缩，节约 50%~70% 存储成本）。",多选题
28,通常可以通过哪些方式来安装OceanBase数据库? A. OBD命令行安装 B. 通过OCP安装 C. 源码编译部署 D. 通过 ob-operator 在 Kubernetes 容器中部署,"正确答案：A、B、C、D

官方解析
OceanBase 支持多样化部署安装方式：
A. OBD 命令行安装（开源社区版及测试环境快速部署 CLI 工具）。
B. 通过 OCP 安装（企业级 Web 控制台一键可视化部署）。
C. 源码编译部署（GitHub 开源源码编译与底层调试）。
D. 通过 ob-operator 在 Kubernetes 中部署（云原生容器化声明式管理）。",多选题
29,"OBServer节点的默认工作目录为/home/admin/oceanbase,关于该目录说明正确的是： A. log 目录内存放着所有的运行日志 B. etc 目录内有集群配置文件 C. audit 目录存放着审计日志 D. bin 目录存放着 observer binary 文件","正确答案：A、B、C、D

官方解析
在 OBServer 工作目录（/home/admin/oceanbase）下：
A. log 目录：存放 observer.log、election.log 等系统运行日志。
B. etc 目录：存放 observer.config.bin 等集群配置文件。
C. audit 目录：存放安全操作审计日志。
D. bin 目录：存放 observer 二进制可执行文件及运维脚本。",多选题
30,"在 OceanBase 数据库中,关于主键约束哪些是正确的? A 允许存在空值,但不允许空值唯一 B 必须保证全局唯一 C OceanBase会自动为主键创建唯一索引 D 如果没有主键,数据按照插入顺序存储","正确答案：B、C

官方解析
选项 A：错误（主键天然具备 NOT NULL 属性，严格不允许空值）。
选项 B：正确（主键在全表/全局范围内保证行记录唯一标识）。
选项 C：正确（底层自动为主键创建唯一聚簇索引）。
选项 D：错误（无主键表会自动生成隐藏自增主键 __pk_increment，依然按索引组织存储，非堆表顺序存储）。",多选题
31,Explain命令支持的语法有： A. EXPLAIN BASIC B. EXPLAIN EXTENDED C. EXPLAIN STATS D. EXPLAIN DETAIL,"正确答案：A、B

官方解析
OceanBase 的 EXPLAIN 命令支持的官方语法关键字包括：
BASIC（输出最简计划骨架）、EXTENDED（输出最详尽计划含表达式地址）、EXTENDED_NOADDR、OUTLINE、PARTITIONS 等。
不支持 STATS（C 项）或 DETAIL（D 项）关键字。",多选题
32,"为业务系统创建索引时,选择索引列需要考虑的因素有哪些? A. 高频查询条件 B. 选择性高的列 C. 读写分离需求 D. 频繁更新的列","正确答案：A、B、D

官方解析
选择索引列时需综合权衡收益与成本：
A. 高频查询条件（正向收益：加速 WHERE/JOIN/ORDER BY 查询）。
B. 选择性高的列（正向收益：区分度高，过滤效率高）。
C. 读写分离需求（错误：属于架构路由策略，与索引列选取无关）。
D. 频繁更新的列（成本权衡：频繁更新的列建索引会加剧写放大与锁开销，需慎重考虑）。",多选题
33,通过OCP的SQL诊断能查看到哪些信息? A SQL文本 B 响应时间 C 执行计划 D SQL失败次数,"正确答案：A、B、C

官方解析
OCP SQL 诊断（TopSQL/SlowSQL）可查看：
A. SQL 文本（SQL_TEXT 完整语句）。
B. 响应时间（平均/最大/总耗时、CPU 时间、排队时间）。
C. 执行计划（算子树、Plan Cache 命中及绑定记录）。
D 项错误：SQL 失败次数不作为诊断模块的核心展示指标，且结果集基于安全合规不予保存。",多选题
34,以下哪些是RootService的作用？ A 资源管理 B 负载均衡 C 路由 D 总控服务,"正确答案：A、B、D

官方解析
RootService（RS）是 OceanBase 集群的集中总控服务（D 项）：
A. 资源管理：管理 Unit Config、Resource Pool、租户生命周期。
B. 负载均衡：监控各节点负载，触发 Unit 与分区均衡调度。
C 项（路由）由 OBProxy 反向代理及客户端 Location Cache 负责，非 RS 职责。",多选题
35,OceanBase 能够实现在普通 PC 服务器上的金融级高可用性，其依赖的核心技术有哪些？ A. Multi-Paxos 协议 B. 多副本机制 C. 共享存储架构 D. 强一致性同步,"正确答案：A、B、D

官方解析
金融级高可用三大技术支柱：
A. Multi-Paxos 协议：多数派共识投票，少数派故障秒级切主（RPO=0, RTO<8s）。
B. 多副本机制：数据多副本跨 Zone/IDC 分布，消除单点物理故障。
C. 共享存储架构 —— 错误：OceanBase 采用 Shared-Nothing 无共享架构，彻底摆脱共享存储。
D. 强一致性同步：多副本日志强同步结合 2PC 与 GTS，确保数据零丢失且全局一致。",多选题
36,在OceanBase V4.0之后，关于日志流和数据分片的关系，以下说法正确的是： A. 一个数据分片(Partition)对应一个日志流 B. 多个数据分片可以共享同一个日志流 C. 日志流是系统进行 Paxos 同步的基本单位 D. 数据分片不再参与 Paxos 投票选举,"正确答案：B、C、D

官方解析
V4.0 架构升级要点：
B. 多个数据分片（Tablet/Partition）聚合映射到同一个日志流中（多对一关系，A 错误）。
C. 日志流（Log Stream）是 Paxos 复制组与同步的基本单位。
D. 数据分片退化为数据组织单位，不再独立参与 Paxos 投票选举，收敛心跳与元数据开销。",多选题
37,OceanBase 的多租户架构，主要实现了以下哪些层面的隔离？ A. 内存隔离 B. CPU 隔离 C. 权限隔离 D. 操作系统内核隔离,"正确答案：A、B、C

官方解析
多租户核心隔离维度：
A. 内存隔离：独立租户内存上下文（MemStore/Cache/Work Area 独占）。
B. CPU 隔离：min_cpu/max_cpu 配额与线程组调度（底层结合 cgroups）。
C. 权限隔离：独立用户、角色与权限体系，租户间数据与配置完全隔离。
D 项错误：各租户共享操作系统内核与 observer 进程。",多选题
38,创建一个租户的资源单元 Unit Num 为 3，意味着什么？ A. 在一个 Zone 内会分配 3 个 Unit B. 这 3 个 Unit 必须分布在同一个 Zone 的不同 OBServer 上 C. 该租户在集群中每个 Zone 都有 3 个 Unit D. 该租户最多只能有 3 个 Unit,"正确答案：A、B、C

官方解析
UNIT_NUM 的定义与调度规则：
A / C. UNIT_NUM 代表在所属的每一个 Zone 内分配 3 个 Unit。
B. 单机单 Unit 互斥原则：同一个租户在同一 Zone 内的单台 OBServer 只能承载 1 个 Unit，3 个 Unit 必须分布在 3 台不同的 OBServer 上。
D 项错误：若集群有 3 个 Zone，总共有 3×3=9 个 Unit，并非最多 3 个。",多选题
39,OceanBase 的 Tablegroup 功能的作用包括： A. 将业务上强相关的表聚集在相同节点 B. 将关联表同名分区聚集，减少跨节点网络通信 C. 提高复杂 JOIN 查询的性能 D. 自动对数据进行加密,"正确答案：A、B、C

官方解析
Tablegroup 核心作用：
A. 业务强相关表物理聚集在相同 OBServer 节点。
B. 分区对齐后同名分区聚集在同一节点，消除跨机网络 RPC 与分布式事务。
C. 启用本地 Partition-Wise Join，大幅提升复杂 JOIN 性能。
D 项错误：数据加密由 TDE 实现，与表组无关。",多选题
40,将传统 Oracle/MySQL 数据库平滑迁移到 OceanBase，通常需要哪些工具和机制配合？ A. OMS 数据迁移同步平台 B. OMA 兼容性评估工具 C. OceanBase 的高度语法兼容性 D. 手工重写所有 SQL,"正确答案：A、B、C

官方解析
平滑迁移三大支柱：
A. OMS：一站式全生命周期数据迁移、实时增量同步与反向回滚保障。
B. OMA：迁移前对象与 SQL 兼容度自动评估与改写建议。
C. 高度语法兼容性：原生深度兼容 Oracle PL/SQL 与 MySQL 语法生态。
D 项错误：绝大部分业务 SQL 无需重写即可平滑接入。",多选题
41,OceanBase 的存储引擎通过什么机制保证数据持久性？ A. WAL (Write-Ahead Logging) 机制 B. Redo-log 实时落盘 C. 多数派节点同步确认 D. 内存数据立即全量刷盘,"正确答案：A、B、C

官方解析
数据持久性（Durability）保障机制：
A. WAL 机制：内存写数据前先写日志（Clog）。
B. Redo-log 实时落盘：事务提交时 Clog 顺序追加持久化落盘。
C. 多数派节点同步确认：通过 Paxos 协议获得多数派副本持久化确认才返回成功（RPO=0）。
D 项错误：内存数据通过转储与合并异步批量落盘，非事务实时全量刷盘。",多选题
42,分布式数据库在处理事务时引发的分布式一致性问题，OceanBase 是如何解决的？ A. 全局时间戳 (GTS) B. 两阶段提交 (2PC) C. MVCC 多版本并发控制 D. 锁表机制阻止并发,"正确答案：A、B、C

官方解析
分布式事务一致性三大核心机制：
A. GTS（全局时间戳服务）：提供单调递增全局时间戳，统一因果时序与快照版本。
B. 2PC（两阶段提交）：结合 Paxos 多数派日志保证跨节点事务原子性（无单点悬挂）。
C. MVCC：多版本并发控制提供快照隔离，读写互不阻塞。
D 项错误：采用细粒度行锁，绝不使用锁表机制。",多选题
