"front","back","type"
"[多选题] 30、Explain命令支持的语法有：
A. EXPLAIN BASIC
B. EXPLAIN EXTENDED
C. EXPLAIN STATS
D. EXPLAIN DETAIL","答案：A、B、D。
解析：OceanBase 支持通过 BASIC、EXTENDED、FORMAT 等参数控制 EXPLAIN 输出的内容格式，通常不包括 STATS（MySQL语法不支持 STATS）。","多选题"
"[多选题] 31、为业务系统创建索引时,选择索引列需要考虑的因素有哪些?
A. 高频查询条件
B. 选择性高的列
C. 读写分离需求
D. 频繁更新的列","答案：A、B。
解析：应当为高频查询和区分度（选择性）高的列建立索引。频繁更新的列建索引会增加维护开销，读写分离主要靠副本路由实现。","多选题"
"[多选题] 32、通过OCP的SQL诊断能查看到哪些信息?
A SQL文本
B 响应时间
C 执行计划
D SQL失败次数","答案：A、B、C、D。
解析：OCP 的 SQL 诊断面板可以查看到 SQL 文本、平均耗时、执行计划、错误/失败次数以及等待事件等丰富的统计信息。","多选题"
"[多选题] 14、以下哪些是RootService的作用？
A 资源管理
B 负载均衡
C 路由
D 总控服务","答案：A、B、D。
解析：RootService 是集群的“总控”，负责租户资源分配、系统 Schema 管理、节点心跳与负载均衡调度。但客户端 SQL 的路由是由 OBProxy 负责的。","多选题"
"[多选题] 33、OceanBase 能够实现在普通 PC 服务器上的金融级高可用性，其依赖的核心技术有哪些？
A. Multi-Paxos 协议
B. 多副本机制
C. 共享存储架构
D. 强一致性同步","答案：A、B、D。
解析：OceanBase 采用无共享（Shared-Nothing）架构，不依赖共享存储。其高可用依赖于多副本、Multi-Paxos 协议以及副本间的强一致性日志同步。","多选题"
"[多选题] 34、在OceanBase V4.0之后，关于日志流和数据分片的关系，以下说法正确的是：
A. 一个数据分片(Partition)对应一个日志流
B. 多个数据分片可以共享同一个日志流
C. 日志流是系统进行 Paxos 同步的基本单位
D. 数据分片不再参与 Paxos 投票选举","答案：B、C、D。
解析：V4.0 引入了单机一体化架构，将 Paxos 同步的基本单位从 Partition 提升到了日志流（Log Stream），多个分区共享一个日志流，大大降低了网络和 CPU 开销。","多选题"
"[多选题] 35、OceanBase 的多租户架构，主要实现了以下哪些层面的隔离？
A. 内存隔离
B. CPU 隔离
C. 权限隔离
D. 操作系统内核隔离","答案：A、B、C。
解析：多租户在数据库进程内部实现了 CPU、内存、数据和权限的严格隔离，但并未做到 OS 操作系统的内核级别虚拟化隔离（不是 Docker）。","多选题"
"[多选题] 36、创建一个租户的资源单元 Unit Num 为 3，意味着什么？
A. 在一个 Zone 内会分配 3 个 Unit
B. 这 3 个 Unit 必须分布在同一个 Zone 的不同 OBServer 上
C. 该租户在集群中每个 Zone 都有 3 个 Unit
D. 该租户最多只能有 3 个 Unit","答案：A、B、C。
解析：Unit Num 是租户在每个 Zone 中的资源单元数量，且同一个租户的多个 Unit 不能分布在同一台 OBServer 上（必须分散到同 Zone 不同节点）。","多选题"
"[多选题] 37、OceanBase 的 Tablegroup 功能的作用包括：
A. 将业务上强相关的表聚集在相同节点
B. 将关联表同名分区聚集，减少跨节点网络通信
C. 提高复杂 JOIN 查询的性能
D. 自动对数据进行加密","答案：A、B、C。
解析：Tablegroup 主要用于分布式调度和本地化 Join 优化，与数据加密无关。","多选题"
"[多选题] 38、将传统 Oracle/MySQL 数据库平滑迁移到 OceanBase，通常需要哪些工具和机制配合？
A. OMS 数据迁移同步平台
B. OMA 兼容性评估工具
C. OceanBase 的高度语法兼容性
D. 手工重写所有 SQL","答案：A、B、C。
解析：借助 OMA 评估、OMS 同步以及内核的原生高兼容性，可以实现平滑迁移，基本不需要手工重写所有 SQL。","多选题"
"[多选题] 39、OceanBase 的存储引擎通过什么机制保证数据持久性？
A. WAL (Write-Ahead Logging) 机制
B. Redo-log 实时落盘
C. 多数派节点同步确认
D. 内存数据立即全量刷盘","答案：A、B、C。
解析：OceanBase 不要求内存数据立即刷盘（DML 只修改内存），而是通过 WAL 机制，确保 Redo-log 同步到多数派并落盘，从而保证数据断电不丢失。","多选题"
"[多选题] 40、分布式数据库在处理事务时引发的分布式一致性问题，OceanBase 是如何解决的？
A. 全局时间戳 (GTS)
B. 两阶段提交 (2PC)
C. MVCC 多版本并发控制
D. 锁表机制阻止并发","答案：A、B、C。
解析：通过 GTS 提供全局快照版本号，MVCC 提供非阻塞读，2PC 保证跨机原子性。OceanBase 使用行锁而非粗暴的锁表机制来控制并发。","多选题"
"[多选题] 41、OceanBase 的 SQL 引擎支持哪些特性？
A. 处理包含约束和视图的 DML 语句
B. 成本基优化器 (CBO)
C. 规则基优化器 (RBO)
D. 分布式执行计划生成","答案：A、B、C、D。
解析：OceanBase 的 SQL 引擎功能完善，包含词法/语法解析、查询重写（RBO）以及基于代价的查询优化（CBO），并能生成并行分布式执行计划。","多选题"
"[多选题] 42、关于 OceanBase 多副本架构，以下说法正确的是：
A. 应用层看到的只是一份数据
B. 强一致性读写操作必须由 Leader 副本处理
C. 弱一致性读可以由 Follower 副本处理
D. 应用服务器可以直接向任何 Follower 副本进行写操作","答案：A、B、C。
解析：多副本对应用完全透明（A）；写操作和强一致读必须找 Leader（B）；开启弱一致性读后可以读 Follower（C）；应用不能直接向 Follower 写数据（D错）。","多选题"
"[多选题] 43、关于 OCP (OceanBase Control Platform) 的告警管理功能，支持的告警通知渠道包括哪些？
A. 钉钉 (DingTalk)
B. 邮件 (Email)
C. 短信 (SMS)
D. 自定义 HTTP API 回调","答案：A、B、C、D。
解析：OCP 提供了强大的告警引擎，支持通过钉钉、邮件、短信以及 Webhook (HTTP API) 方式进行告警触达，方便与企业内部监控系统对接。","多选题"
"[多选题] 44、OceanBase 中的系统租户 (sys) 可以执行哪些特殊操作？
A. 创建普通业务租户
B. 查看全集群的物理节点运行状态
C. 随意读取和修改普通租户的业务数据 (如直接 select 业务表)
D. 修改集群级别的系统参数","答案：A、B、D。
解析：sys 租户是集群的管理员租户，负责管理资源和查看集群视图，但为了保证数据安全隔离，sys 租户不能跨租户直接读取或修改普通业务租户的数据。","多选题"
"[多选题] 45、在数据库进行性能调优时，OceanBase 提供的内部视图中，哪些可以用来分析 SQL 的执行耗时？
A. GV$OB_SQL_AUDIT
B. GV$SQL_PLAN_MONITOR
C. GV$ACTIVE_SESSION_HISTORY
D. __all_zone","答案：A、B、C。
解析：SQL Audit 用于记录每一条执行过的 SQL 审计信息；Plan Monitor 用于查看 SQL 并行执行和算子级耗时；ASH 记录活动会话历史，是排查耗时的重要工具。__all_zone 是集群拓扑表，与 SQL 耗时无关。","多选题"
"[多选题] 46、在进行数据迁移时，OMS 支持以下哪几种同步方式？
A. 结构迁移 (Schema 迁移)
B. 存量数据全量迁移
C. 增量数据实时同步
D. 数据一致性比对校验","答案：A、B、C、D。
解析：OMS 是一站式的迁移工具，涵盖了从结构转换、全量复制、实时增量同步以及割接前的双向数据校验等完整链路。","多选题"
"[多选题] 47、以下哪些操作会触发 OceanBase 内存数据的落盘（转储 Minor Freeze）？
A. 租户内存的 MemTable 达到了转储高水位线
B. 数据库定期系统定时触发
C. DBA 手动执行 ALTER SYSTEM MINOR FREEZE 命令
D. 执行 SELECT 查询语句","答案：A、B、C。
解析：转储可以由内存达到阈值自动触发，也可以定时触发或手动执行。纯读请求的 SELECT 不会导致数据落盘。","多选题"
"[多选题] 48、在部署 OceanBase 集群时，对服务器硬件和系统环境有哪些基本要求？
A. 所有节点必须配置好 NTP 保证时钟同步
B. 推荐关闭操作系统的 Swap 交换分区
C. 推荐配置较高的文件句柄数 (ulimit -n)
D. 必须使用 Windows Server 操作系统","答案：A、B、C。
解析：OceanBase 强依赖时钟同步（误差须控制在 100ms 内）；关闭 Swap 可防止内存被换出导致性能抖动；需调大文件句柄数以支持高并发。系统必须是 Linux，不支持 Windows。","多选题"
