题号,题目(正面),答案(背面),题型
11,OceanBase 能够实现在普通 PC 服务器上的金融级高可用性。,"答案：正确

￼

￼ 解析

1. 软件层定义高可用（摆脱专用高端硬件）：
￼ 传统金融级数据库的高可用往往重度依赖昂贵的高端专有硬件（如小型机、高端共享存储阵列 SAN、专线光纤通道等）。
￼ OceanBase 采用 Shared-Nothing（无共享） 分布式架构，将高可用能力完全构建在软件内核层，仅需部署在普通的 x86 / ARM 商用标准服务器（PC Server）与普通通用网络设备上。


2. Multi-Paxos 协议保障金融级一致性：
￼ 基于分布式共识算法 Multi-Paxos，事务日志（Clog）在集群的多个普通服务器节点间多副本同步。
￼ 只要多数派副本存活即可达成共识提交事务。当单台或少数普通 PC 服务器发生宕机、断网或硬件损坏时，集群在秒级内自动通过多数派选出新的主副本恢复对外服务，达到金融级高可用指标：
￼ RPO = 0（零数据丢失，满足金融核心对账和数据资产要求）
￼ RTO < 8 秒（业务近乎无感知的快速自愈与故障切换）




3. 权威业务验证：
￼ 这一能力早已在网商银行、蚂蚁集团核心交易系统以及多家大型国有银行、股份制银行的实际生产环境中长期稳定运行并得到验证。",判断题
12,"在OceanBase中,日志流和数据分片是一一对应的,一个数据分片就有一个日志流。","答案：错误

￼

￼ 解析

这是 OceanBase 4.x 架构演进中的一个关键考点：

1. 两者是“多对一（N:1）”的关系，并非“一一对应”：
￼ 在 OceanBase 4.x 中，数据分片（Tablet / 分区）与日志流（Log Stream，简称 LS）是多对一的聚合映射关系。
￼ 多个数据分片（Tablet）会被分配并归属到同一个日志流（LS）中，由这一个日志流统一负责它们的多副本日志同步、Paxos 共识以及事务提交。


2. 为什么不设计为“一一对应”？
￼ 历史教训（OceanBase 3.x 及之前）： 早期版本中每个分区（Partition）都是一个独立的 Paxos 复制组（相当于分区与日志流一一对应）。当单集群内分区数膨胀到数万甚至数百万时，维护海量 Paxos 组的心跳、元数据和线程切换带来了极其高昂的系统开销。
￼ 4.x 架构优化目的： 将多个数据分片打包到一个日志流中统一管理，大幅收敛了 Paxos 组数量（一个租户通常只有有限数量的日志流），既降低了心跳与元数据维护开销，又实现了单机单分区架构的高性能与易扩展性。",判断题
13,"OceanBase 的租户逻辑上对应一个数据库实例,每个租户独占系统的存储和计算资源,类似于Docker容器的资源隔离。","答案：错误（核心错在“独占系统的存储和计算资源”的表述）

解析：
1. 逻辑实例的理解是正确的：OceanBase 的租户（Tenant）在逻辑上确实等同于一个独立的数据库实例，拥有独立的权限体系、Schema、数据字典以及参数配置。
2. 核心错误点：并非“独占系统资源”，而是“共享硬件基础下的资源配额与池化隔离”。在 OceanBase 集群中，多个租户是共享底层服务器的物理硬件资源的，系统通过资源单元规格和资源池为每个租户划分指定限额的资源，共享同一个数据文件池和日志盘空间。",判断题
14,"在OceanBase中,创建一个租户的资源单元 Unit Num为3,那么一个Zone内会有3个不同的OBSerer作为该租户的资源分配单元。","答案：正确

￼

￼ 解析

1. `UNIT_NUM` 的核心定义与分布约束：
￼ `UNIT_NUM` 代表该租户在每一个 Zone 内所分配的资源单元（Resource Unit）的数量。
￼ OceanBase 的资源调度规则严格规定：同一个租户在同一个 Zone 内的多个 Unit 不能放置在同一台 OBServer 上（即“一个节点最多容纳同租户同 Zone 的一个 Unit”）。


2. 为什么必须对应 3 个不同的 OBServer：
￼ 如果指定 `UNIT_NUM = 3`，意味着在每一个 Zone 中，系统都会为该租户创建 3 个 Unit。
￼ 根据上述防聚集/分布规则，这 3 个 Unit 必须被分散调度到该 Zone 内的 3 台不同物理 OBServer 节点上运行。
￼ *前提条件*：部署该资源池时，该 Zone 内必须至少拥有 $\\ge 3$ 台可用的 OBServer 节点，否则会因物理节点数不足导致创建租户/资源池失败。",判断题
15,OceanBase的Tablegroup功能允许将业务上强相关的表聚集在相同的节点。,"答案：正确

解析
Tablegroup（表组）的核心概念与目的：

定义： Tablegroup 是 OceanBase 数据库中的一个逻辑控制机制，用于将多个业务上存在紧密关联的表（例如具有相同分区规则的主子表、订单表与订单明细表等）关联聚合在一起。

核心目的： 控制这些强相关表的分区分布，确保它们对应的相同分区（如具有相同哈希值或相同范围的分区）被调度并物理放置在同一个 OBServer 节点上。

解决的技术痛点与性能收益：

消除跨节点分布式事务开销： 当多张表处于同一个 Tablegroup 且分区规则匹配时，对这些表的协同写入/更新操作可以转化为单节点本地事务，从而避免昂贵的跨节点两阶段提交（2PC）协议和跨机 RPC 网络开销。

大幅提升关联查询（Partition-wise Join）性能： 在进行表与表之间的关联查询（Join）时，由于匹配的数据分区就位于本地节点的同一块内存/磁盘中，执行引擎可以直接在本地完成高效的关联计算，极大减少了网络传输与数据重分布（Shuffle）的延迟。",判断题
16,"OceanBase数据库与Oracle/MySQL数据库有较大的不同,无法将OracIe/MYSQL数据库平滑迁移到OceanBase数据库。","答案：错误

解析
内核级高度兼容（降低业务改造成本）：

OceanBase 原生支持两种租户模式：Oracle 兼容模式 和 MySQL 兼容模式。

Oracle 模式： 深度兼容 Oracle 的 SQL 语法、数据类型、内置函数、PL/SQL 存储过程、触发器、包（Package）以及高级特性（如 DBLink、闪回查询等），应用无需重写业务逻辑即可实现高度兼容。

MySQL 模式： 深度兼容 MySQL 5.7 / 8.0 语法、协议、内置函数及常用周边工具，支持零改造或极小改造接入。

全套自动化迁移与评估工具链（保障平滑落地）：
OceanBase 提供了成熟的官方迁移工具生态，彻底解决“不能平滑迁移”的问题：

OMA（OceanBase Migration Assessment，迁移评估工具）： 在迁移前自动扫描源端 Oracle/MySQL 的 Schema、SQL 与代码，输出兼容性评估报告与改造建议。

OMS（OceanBase Migration Service，数据迁移服务）： 支持从 Oracle/MySQL 到 OceanBase 的一站式全生命周期迁移，包括：结构迁移、全量数据迁移、增量数据实时同步、数据一致性校验与反向增量同步。",判断题
17,"OceanBase数据库的存储引擎通过WAL(Write-Ahead Logging)机制确保redo-log实时落盘,保证数据持久性。","答案：错误（或表述不严谨，核心在于 Clog 机制与多数派确认）

解析：
在 OceanBase 中事务提交日志称为 Clog（Commit Log）。基于 Multi-Paxos 多数派落盘机制，事务在提交时，主副本（Leader）将 Clog 同步发送给所有 Follower，只要多数派（Quorum）节点的日志完成持久化落盘确认，该事务就可以向客户端返回成功，并不需要等待所有节点的单机落盘。同时业务真正的数据通过 MemTable 写入，后台定期通过转储或合并批量落盘。",判断题
18,分布式数据库在处理事务时引发的分布式一致性问题会导致不同节点并发读取到不一致的数据。,"答案：正确

解析
分布式环境下的数据分布与副本特征：

在传统单机数据库中，事务的一致性和隔离性通过单机的锁机制、Redo/Undo 日志及单机 MVCC 即可轻松保证。

在分布式数据库中，数据被切分为多个分片（Partition/Tablet），并且同一份数据通常存在多个副本（Replica）分散在不同的物理节点上。

引发不同节点读取不一致的核心原因：
1. 多副本同步延迟
2. 分布式事务中间状态
3. 缺少全局时钟/时序混乱

工业级分布式数据库的解决机制：
正因为存在上述一致性挑战，成熟的金融级分布式数据库（如 OceanBase）必须引入 全局时间戳服务（GTS）+ Multi-Paxos 共识协议 + 分布式 MVCC，对外提供全局快照隔离级别与外部一致性，从而规避脏读与各节点读数据不一致的问题。",判断题
19,OceanBase数据库的SQL引擎不支持对包含约束和视图的DML语句进行处理。,"答案：错误

解析
完全支持对带“完整性约束”的表执行 DML 操作：
OceanBase 的 SQL 引擎原生完整支持各类表级与列级约束（包括 PRIMARY KEY、UNIQUE、NOT NULL、FOREIGN KEY 外键约束以及 CHECK 约束）。执行 DML 操作时会自动进行约束检查。

支持对“视图（View）”进行 DML 操作：
可更新视图（Updatable View）：对于满足可更新条件的简单视图，SQL 引擎支持直接对其执行 INSERT、UPDATE、DELETE 操作。
不可更新视图 / 复杂视图：在 Oracle 模式下，支持在复杂视图上创建 INSTEAD OF 触发器来实现 DML 逻辑。",判断题
20,"OceanBase 数据库是多副本架构,OceanBase 的业务应用服务器可以直接进行多副本的读写从而提高集群高可用性。","答案：错误

解析
写操作路由限制（仅 Leader 副本可写）：
OceanBase 虽然采用多副本架构（基于 Multi-Paxos 协议），但每个分区/日志流在任意时刻都遵循单主（Leader-Follower）模型。业务应用的所有写操作必须由且只能由 Leader 副本负责处理，从副本（Follower）仅参与日志同步与投票，不能直接接受业务写入。

读操作的控制与一致性机制：
强一致性读必须路由到 Leader 副本读取；弱一致性读可通过路由分发到 Follower 副本。

高可用性的真正实现来源：
依靠 Paxos 协议在底层自动进行故障检测与秒级选主实现（RPO=0，RTO<8s），并通过 OBProxy 自动识别分区的物理分布与 Leader 节点位置进行透明路由。",判断题
21,OCP只支持单节点的部署方式。,"答案：错误

解析
支持多种部署形态：
OCP（OceanBase Control Platform）不仅支持轻量级的单节点部署，在生产环境中更推荐采用高可用（HA）多节点部署模式。
多节点部署（Multi-Node Deployment）：OCP 平台支持将 OCP-Server、MetaDB（元数据库）、MonitorDB（监控库）以及 OBProxy 部署在多个物理节点上，组成高可用集群服务。",判断题
22,"OBDUMPER是一个使用Java 语言开发的数据导出工具,支持连接OceanBase 数据库。用户可以使用该工具将OceanBase中的数据导出为SQL格式和CSV格式的数据文件。","答案：正确

解析
开发语言与定位：
OBDUMPER（OceanBase Dumper）是 OceanBase 官方提供的一款基于 Java 语言开发的客户端数据导出工具。

支持导出的文件格式：
支持将表中的数据以及数据库对象定义（DDL）导出到指定文件中，支持 SQL 格式（Insert SQL 语句）和 CSV 格式（定界文本文件），同时也扩展支持 CUT、ORC、Parquet 等多种格式。",判断题
23,"在OceanBase中,转储(将内存数据写到磁盘)的触发条件只有一种设定,即内存达到阈值。","答案：错误

解析
核心错误点：触发方式并非“只有一种”。
OceanBase 中转储（Minor Freeze / Compaction）的触发机制分为自动触发与手动触发两大类：
1. 自动触发（内存阈值）：当租户 MemTable 内存使用量达到 freeze_trigger_percentage 时自动触发。
2. 手动触发（命令触发）：管理员可通过 ALTER SYSTEM MINOR FREEZE 手动触发。
3. 多层转储与 SSTable 数量触发：当低层 Mini SSTable 数量累积达到阈值时触发 Minor 合并。",判断题
24,"OceanBase数据库的租户资源池可以动态调整,以满足不同业务资源需求。","答案：正确

解析
核心特性（内核级弹性伸缩）：
OceanBase 采用原生多租户（Multi-Tenant）架构，资源池（Resource Pool）和资源单元配置（Unit Config）支持在不停机、不重启服务、业务无感知的情况下进行在线动态调整。
支持垂直伸缩（修改 Unit 规格 CPU/Memory 等）、水平伸缩（修改 UNIT_NUM）、以及 Zone 级别调整。",判断题
25,"OceanBase全链路追踪的结果只能通过OCP查看,不支持函数(或命令行)查看。","答案：错误

解析
核心错误点：并非“只能通过 OCP 查看”。
OceanBase 的全链路追踪（Full Link Tracing / FLT）信息不仅支持在图形化运维平台（OCP）中可视化展示，同样原生支持在客户端通过 SHOW TRACE 命令、内部系统视图（如 gv$ob_flt_trace_span）以及 trace 日志文件进行查看和分析。",判断题
26,系统参数(Parameters)的生效范围只能是集群范围，不能是租户范围。,"答案：错误

解析
核心错误点：系统参数的生效范围并非“只能是集群范围”。
OceanBase 的系统参数（Parameters）支持多级作用范围：
1. 集群级参数：对整个集群内所有节点或所有租户全局生效。
2. 租户级参数：只对指定的一个或多个业务租户生效（语法如 ALTER SYSTEM SET ... TENANT = 'tenant_name'）。
3. 节点/Zone 级参数：可通过 ZONE 或 SERVER 子句限制生效范围。",判断题
27,ALTER SYSTEM SET 语句既可以修改集群参数，也可以修改租户参数。,"答案：正确

解析
统一语法接口：
在 OceanBase 数据库中，ALTER SYSTEM SET 是管理员修改系统级参数（Parameters）的标准 DDL/管理语句。
既支持修改作用于整个数据库集群的全局参数，也支持通过 TENANT 子句指定修改某个具体租户的参数，并支持通过 ZONE 或 SERVER 子句指定修改范围。",判断题
28,OceanBase 是集中式架构与分布式架构的结合体，具有中心控制节点用于数据存储。,"答案：错误

解析
核心错误点：
1. 不存在用于“数据存储”的中心控制节点：OceanBase 采用纯粹的 Shared-Nothing（无共享）原生分布式架构，所有数据分片及事务日志均匀打散、多副本分散存储在各个普通 OBServer 节点上，数据存储完全去中心化。
2. 控制服务（RootService）也是去中心化的分布式设计，嵌入在 OBServer 中并通过 Paxos 选举保证高可用。",判断题
29,OceanBase 在处理跨节点分布式事务时，采用了改进的两阶段提交（2PC）协议，并实现了协调者无状态化。,"答案：正确

解析
改进的两阶段提交协议（2PC + Multi-Paxos 结合）：
OceanBase 的每个参与者（Participant）本身都是一个通过 Multi-Paxos 维护的多副本日志流，节点宕机也能秒级选出新主并恢复 2PC 状态机。
协调者无状态化（Coordinator Stateless）：
协调者在执行两阶段提交时不需要写本地 Paxos 日志持久化，协调者宕机后新接管者可通过反向查询参与者状态直接反推并推进事务决议，大幅减少网络与写日志开销。",判断题
30,在 OceanBase 中，内存（Memory）资源的分配是独占的，CPU 资源则是共享的，因此 CPU 可以超卖。,"答案：正确

解析
内存资源（独占，不支持超卖）：
分配给租户的 MEMORY_SIZE 是严格独占并预先锁定的，所有租户分配内存总量不能超过物理节点可分配内存上限，防止 OOM。
CPU 资源（共享池化，支持超卖）：
CPU 资源通过 MIN_CPU（保底算力）和 MAX_CPU（突发上限）配置，当所有租户 MAX_CPU 总和大于物理 CPU 核数时即构成 CPU 超卖，在闲置时最大化利用算力，争抢时优先保障 MIN_CPU。",判断题
31,如果一个集群由 3 个 Zone 组成，那么该集群的数据至少会有 3 个全能副本。,"答案：错误

解析
集群的 Zone 数量与租户副本数解耦：
集群拥有 3 个 Zone 仅代表提供了 3 个逻辑故障隔离域。具体租户的数据副本数与副本类型由该租户的资源池（Resource Pool）和局部属性（Locality）决定。
完全可以创建只在 1 个 Zone 上的单副本租户（用于测试），也可以配置全能副本与只读副本的组合（如 2 全能 + 1 只读），因此并非至少有 3 个全能副本。",判断题
32,OMS (OceanBase Migration Service) 仅支持单向的数据全量迁移，不支持增量实时同步。,"答案：错误

解析
核心错误点：OMS 完整支持全生命周期的全量 + 增量实时同步。
OMS 的标准迁移流程包含：结构迁移、全量数据迁移、增量实时同步（CDC 毫秒级追赶）、全量/增量一致性校验，并且还支持反向增量同步为业务割接提供随时可回滚的保障机制。",判断题
33,OBProxy 负责将客户端的 SQL 路由到目标数据所在的 OBServer，它本身并不存储任何业务数据。,"答案：正确

解析
核心定位（反向代理与智能路由）：
OBProxy（ODP）是专用的接入层反向代理。负责接收客户端 SQL 请求，解析出库表名与分区键，结合 Location Cache 将 SQL 精准路由转发到目标数据 Leader 副本所在的 OBServer 节点。
无状态与不存储业务数据：
OBProxy 是纯无状态（Stateless）组件，不存储任何业务数据与事务日志，支持灵活水平扩缩容。",判断题
34,OceanBase 社区版完全免费，且与企业版在核心分布式事务处理和高可用架构上完全一致。,"答案：正确

解析
完全开源与同源同内核：
OceanBase 社区版（Community Edition）遵循开源协议，内核代码完全公开免费。
核心分布式事务与高可用架构（LSM-Tree 存储、Multi-Paxos 多数派共识、分布式 2PC + GTS、RPO=0 / RTO<8s）与企业版完全一致。主要区别在于企业版支持 Oracle 兼容模式及企业级专属管控套件与支持服务。",判断题
35,在 OceanBase 的 LSM-Tree 存储引擎中，数据更新会直接修改磁盘上的数据块以保证实时性。,"答案：错误

解析
核心错误点：磁盘数据为只读（Immutable），不会原地覆盖修改。
OceanBase 基于 LSM-Tree 架构，磁盘上的基线数据块（SSTable）是只读不可变的。所有增删改操作首先直接写入内存中的 MemTable 并写事务日志（Clog）。查询时在内存中实时归并（Merge-on-Read），磁盘数据仅在后台转储和合并时生成新的 SSTable，避免了磁盘数据块原地随机覆写。",判断题
36,在 OceanBase 数据库中，只要事务提交成功，对应的 Redo Log 就一定已经通过 Paxos 协议同步到了多数派节点。这也意味着不会丢失任何已提交的数据。,"答案：正确

解析
事务提交流程与 Paxos 多数派共识：
当发起事务提交请求时，主副本（Leader）将日志同步发送给所有从副本，只有当大于半数的副本（多数派）成功持久化落盘确认后，事务才向客户端返回提交成功。
零数据丢失保障（RPO = 0）：
任何两个多数派集合必然存在重叠节点，Leader 宕机后新选举产生的 Leader 一定包含全部已提交日志，确保已提交数据绝不丢失（RPO = 0）。",判断题
