"front","back","type"
"[单选题] 7、以下哪项不是存储引擎需要完成的主要功能？
A.数据存储 B. 数据读取 C. 数据分析 D. 数据合并","答案：C。
解析：数据分析（SQL 的复杂计算等）属于执行引擎和 SQL 引擎的范畴。存储引擎主要负责落盘物理存储、读取、转储(Minor Freeze)与合并(Major Freeze)。","单选题"
"[单选题] 8、OceanBase数据库中的多副本使用以下哪一种算法来确保分布式环境下的一致性？
A. Raft B. Paxos C. Quorum D. Zab","答案：B。
解析：OceanBase 的高可用架构和多副本之间的数据强一致性是基于 Multi-Paxos 协议实现的。","单选题"
"[单选题] 9、在OceanBase数据库中，涉及多个分区的事务或者多个分区的写入，这种事务被称为什么类型的事务？
A. 内部事务 B. 分布式事务 C. XA事务 D. 单元事务","答案：B。
解析：跨越多个分区的读写操作（由于分区可能分布在不同节点上），被称为分布式事务，由 OceanBase 内置的两阶段提交（2PC）协议保证原子性。","单选题"
"[单选题] 10.为了达到更好的压缩效果，OceanBase一般推荐进行几次压缩？
A 1次 B 2次 C 3次 D 4次","答案：B。
解析：OceanBase 的 SSTable 通常采用两级压缩（如先进行字典编码/前缀压缩，再使用通用块压缩算法如 LZ4/Zstd），以达到极高的数据压缩比。","单选题"
"[单选题] 14、相比于集中式数据库，下列哪项是分布式数据库在事务处理上带来的挑战？
A. 网络通信的不可靠 B. 节点故障的影响 C. 数据一致性的挑战 D. 性能下降","答案：C。
解析：虽然分布式系统面临诸多挑战，但在事务处理（ACID）层面，“数据一致性的挑战”（如跨节点分布式事务的原子性和隔离性）是最核心的技术难题。","单选题"
"[单选题] 5、使用 JDBC连接Oracle租户时，需要使用哪个JDBC驱动？
A、 MySQL标准JDBC驱动
B、Oracle标准JDBC驱动
C、OceanBase自己开发的JDBC驱动","答案：C。
解析：OceanBase 提供了针对其特性的 OceanBase JDBC 驱动（oceanbase-client），特别是连接 Oracle 模式租户时，必须使用该专用驱动。","单选题"
"[单选题] 6、关于慢查询优化，以下说法不正确的是：
A、通过 GV$OB_SQL_AUDIT 自动定位慢查询
B、GV$OB_SQL_AUDIT 的 elapsed_time...代表总耗时...
C、通过 explain 查看实际执行计划","答案：C。
解析：EXPLAIN 命令生成的执行计划是优化器预估的逻辑执行计划（Estimated Plan），查看实际计划需依赖 trace 等诊断工具。","单选题"
"[单选题] 1、以下哪项不属于OceanBase数据库DBA日常工作内容？
A. 数据库安装 B. 应用SQL改写 C. 数据库性能优化 D. 数据备份","答案：B。
解析：应用 SQL 的重构和改写主要是应用开发人员或业务架构师的职责；DBA 主要是进行安装部署、监控、性能调优和备份恢复。","单选题"
"[单选题] 3、ASH报告主要用于排查系统资源是否瓶颈，它依赖于？
A.日志 B. OCP Agent C. 存储 D.活动会话历史视图","答案：D。
解析：ASH 即 Active Session History，它依赖于数据库内核提供的活动会话历史视图（如 GV$ACTIVE_SESSION_HISTORY）来生成报告。","单选题"
"[单选题] 4、OBServer全链路追踪数据存储在哪个日志文件？
A.observer.log B. election.log C. trace.log D.rootservice.log","答案：C (或 A)。
解析：全链路追踪（Trace）的信息默认会输出打印到 trace.log 中。","单选题"
"[单选题] 1、OceanBase 产品体系中,哪一款是数据迁移的工具?
A OMS
B OMA
C OAS
D OCP","答案：A。
解析：OMS (OceanBase Migration Service) 是一站式数据迁移和同步平台，支持多种异构数据库向 OceanBase 迁移。","单选题"
"[单选题] 2、OceanBase的总控服务提供很多功能，但不包括？
A 管理Paxos选举
B 同步数据日志
C 集群自动容灾调度
D 租户资源管理","答案：B。
解析：RootService（总控服务）负责全局元数据管理、负载均衡等。数据日志的同步是由具体分区的 Paxos 组（全能副本）独立完成的。","单选题"
"[单选题] 3、OceanBase的RootService服务不包含以下哪项?
A 容灾管理
B 负载均衡
C 数据加密
D schema管理","答案：C。
解析：数据透明加密（TDE）是存储引擎层的机制，不属于 RootService 的管理职责。RootService 负责 schema管理、容灾和负载均衡。","单选题"
"[单选题] 4、在衡量数据库的高可用能力时,RPO指标指代什么?
A 业务恢复时间
B 数据同步延迟
C 故障数据恢复率
D 丢失数据量","答案：D。
解析：RPO 即恢复点目标，衡量灾难发生时允许丢失的最大数据量。OceanBase RPO=0。","单选题"
"[单选题] 5、0ceanBase的哪个周边产品能够提供数据库监控指标，以及全链路诊断?
A OMS
B ODP
C OCP
D 总控服务","答案：C。
解析：OCP 提供了全面的监控告警、性能诊断（如 SQL 审计、全链路追踪）以及自动化运维能力。","单选题"
"[单选题] 6、为了达到更好的压缩效果,OceanBase一般推荐进行几次压缩?
A 1次
B 2次
C 3次
D 4次","答案：B。
解析：通常采用两级压缩：第一级是底层的字典/差值编码等，第二级是针对数据块的通用压缩。","单选题"
"[单选题] 7、在OceanBase数据库中,数据的编码压缩主要发生在哪个阶段?
A 内存写入阶段
B 数据读取阶段
C 数据合并阶段
D 数据转储阶段","答案：C。
解析：在合并（Major Freeze）阶段，系统会将数据生成新的基线 SSTable，此时会进行最深度的编码和压缩以节省空间。","单选题"
"[单选题] 8、OceanBase数据库通过哪种方式实现了高并发的分布式执行?
A 单线程处理
B 硬件加速
C 分布式执行引擎
D 硬件网卡优化","答案：C。
解析：OceanBase 拥有强大的分布式 SQL 引擎和执行引擎，支持生成分布式执行计划（如并行查询 PQ）。","单选题"
"[单选题] 9、在OceanBase数据库中,哪个组件负责接收SQL语句并为SQL执行选择合适的执行计划?
A ODP(OBProxy)
B SQL引擎
C 存储引擎
D 总控服务","答案：B。
解析：SQL 引擎负责 SQL 的词法、语法解析、查询重写，并通过优化器生成执行计划。","单选题"
"[单选题] 10、OceanBase数据库的底层存储引擎主要是针对读多写少的场景优化设计的什么架构?
A B-Tree
B LSM-Tree
C Hash
D 堆文件组织","答案：B。
解析：OceanBase 的存储引擎基于 LSM-Tree 架构，将随机写转化为顺序写，提升写入性能并便于数据压缩。","单选题"
"[单选题] 11、OceanBase数据库执行计划缓存(Plan Cache)的主要作用是什么?
A 提高DML插入数据的效率
B 提高SELECT读取数据的效率
C 让SQL解析器自动优化
D 避免SQL硬解析,提高SQL执行效率","答案：D。
解析：Plan Cache 可以缓存 SQL 语句编译好的执行计划，下一次相同参数化 SQL 进来时（软解析），省去高昂的硬解析开销。","单选题"
"[单选题] 12、为了能自动化安装部署OceanBase数据库时,我们需要将不同类型的数据分别放在不同目录,以下哪个目录可以不单独划分?
A /home
B /root
C /data/log1
D /data/1","答案：B。
解析：/root 属于系统管理员目录，不需要也不建议单独划分为 OceanBase 的数据卷。","单选题"
"[单选题] 13、以下哪个工具可以用来自动化安装部署OceanBase集群?
A OBD
B OCP
C OAT
D ODC","答案：A。
解析：OBD (OceanBase Deployer) 是官方提供的用于自动化部署 OceanBase 集群的命令行工具。","单选题"
"[单选题] 15、关于使用LOAD DATA命令，下列说法错误的是：
A、客户端使用OBProxy连接数据库执行LOAD DATA命令,把OceanBase集群中一台OBServer节点上的csv文件导入到数据库中。
B、使用LOAD DATA命令前,需要授予该文件给数据库的读取权限。
C、LOAD DATA支持本地路径和远程路径两种方式。
D、LOAD DATA使用本地路径时,需要指定direct 关键字的Hint","答案：A。
解析：LOAD DATA 默认是从“客户端”所在机器或者连接的节点读取文件。如果是通过 OBProxy 连入，无法确定最终连接的是哪台 OBServer，因此本地文件导入通常需要客户端直连目标 OBServer，或使用网络存储/OSS。","单选题"
"[单选题] 17、下列哪项日常运维操作不能通过OCP来执行?
A、重启OBserver
B、升级硬件
C、替换OBserver
D、升级集群","答案：B。
解析：OCP 是软件层面的自动化运维平台，支持重启、替换、升级软件，但物理硬件的升级（如插拔内存、更换CPU）无法通过 OCP 执行。","单选题"
"[单选题] 18、下列哪一项不属于OceanBase内核提供的监控诊断工具?
A、OAS
B、WR 和ASH
C、SQL Trace
D、系统内部视图","答案：A。
解析：WR、ASH、SQL Trace 和内部视图都属于数据库内核自身提供的诊断能力；OAS（OceanBase 自动调优服务）等属于周边生态平台。","单选题"
"[单选题] 22、假设一个5节点的OceanBase集群,最多允许几个节点故障而集群依然可用?
A.1 B.2 C.3 D.4","答案：B。
解析：根据 Paxos 多数派协议，5 副本集群的多数派是 3，因此最多允许 5-3 = 2 个节点故障。","单选题"
"[单选题] 1、OceanBase 使用什么协议达成高可用和强一致性？
A. 主从同步 + Paxos 协议
B. 读写分离 + 高可用同步协议
C. 日志同步 + 高可用同步协议
D. 多副本 + Paxos 协议","答案：D。
解析：OceanBase 使用无共享的多副本架构，各副本之间通过 Multi-Paxos 分布式一致性协议进行日志同步，实现 RPO=0。","单选题"
"[单选题] 2、OceanBase 默认以什么为单位组建 Paxos 协议组？
A. 租户
B. 数据库
C. 表
D. 分区 (或日志流)","答案：D。
解析：在早期的架构中，OceanBase 以分区（Partition）为单位组建 Paxos 组；在 V4.0 及以后，是以日志流（Log Stream）为单位。","单选题"
"[单选题] 3、当应用向数据库写入事务时，默认会同步等待什么日志同步到多数派节点？
A. Redo-Log 日志
B. 系统日志
C. Undo-log 日志
D. 审计信息","答案：A。
解析：事务提交时，必须等待 Redo-Log （重做日志）通过 Paxos 协议同步到多数派节点并落盘后，才返回给应用提交成功。","单选题"
"[单选题] 4、OceanBase 内核采用的选举协议是？
A. Paxos
B. Raft
C. Zookeeper
D. ZAB","答案：A。
解析：OceanBase 实现了自主研发的基于 Multi-Paxos 算法的分布式强一致性协议。","单选题"
"[单选题] 5、管理员可以通过哪个命令创建资源池？
A. create resource unit
B. create resource pool
C. create tenant
D. create database","答案：B。
解析：创建资源池的 DDL 语句是 CREATE RESOURCE POOL。","单选题"
"[单选题] 6、OceanBase 不支持什么操作系统？
A. CentOS
B. Windows
C. 统信操作
D. 麒麟操作","答案：B。
解析：OceanBase 目前只能部署在 Linux 操作系统上，不支持 Windows。","单选题"
"[单选题] 7、OceanBase 一般用户的登录格式？
A. 用户名@租户名，例如 root@sys
B. 租户名@用户名，例如 sys@root
C. 用户名@数据库名，例如 root@oceanbase
D. 数据库名@用户名，例如 oceanbase@root","答案：A。
解析：OceanBase 为了区分不同租户的用户，直连（或通过直连端口）登录格式为 `用户名@租户名`。如果通过 OBProxy，通常是 `用户名@租户名#集群名`。","单选题"
"[单选题] 8、Linux 操作系统一般创建什么用户安装 OceanBase？
A. root
B. obuser
C. observer
D. admin","答案：D。
解析：在部署规范中，OceanBase 通常推荐使用 admin 用户进行安装部署，而非直接使用 root 用户。","单选题"
"[单选题] 9、ConfigServer(config url)主要是给以下哪个组件提供的？
A. ODC
B. OCP
C. OMS
D. OBProxy","答案：D。
解析：OBProxy 作为代理路由，需要知道集群的节点列表和状态。它可以通过访问 ConfigServer 动态获取集群的位置信息。","单选题"
"[单选题] 10、部署 OceanBase 集群时，各 OBServer 间 RPC 时钟同步时间偏移最多？
A. 1 毫秒
B. 10 毫秒
C. 100 毫秒
D. 200 毫秒","答案：C。
解析：OceanBase 强依赖时钟同步（NTP/Chrony）以生成全局时间戳。节点间时钟偏差过大（通常超过 100ms）会导致事务不可用或集群异常。","单选题"
"[单选题] 11、""major_freeze_duty_time"" 设置为 ""02:00"" 意味着什么？
A. 每天凌晨2点，自动触发一次转储操作
B. 每天凌晨2点，自动触发一次合并操作
C. 每天凌晨2点，自动触发一次内存清理操作
D. 每天凌晨2点，自动触发一次数据恢复操作","答案：B。
解析：`major_freeze_duty_time` 参数用于设置系统每天自动触发全局大合并（Major Freeze）的时间。","单选题"
"[单选题] 12、通过哪个命令可以查询系统参数？
A. show parameters like '%<pattern>%';
B. alter system set <name>=<value>;
C. show variables like '%<pattern>%';
D. set @@global.<name>=<value>;","答案：A。
解析：在 OceanBase 中，`show parameters` 用于查看集群/租户级别的系统配置项（Parameters）；而 `show variables` 用于查看兼容 MySQL 模式的系统变量（Variables）。","单选题"
"[单选题] 13、OceanBase 是一个什么类型的数据库？
A. 内存式数据库
B. NoSQL 数据库
C. 分布式关系型数据库
D. 图数据库","答案：C。
解析：OceanBase 是一款原生的企业级分布式关系型数据库（RDBMS），兼具 NoSQL 的高扩展性和关系型数据库的强一致性。","单选题"
"[单选题] 16、关于OceanBase的架构特点，以下哪个是错误的？
A.无共享
B.全局等价节点
C.准内存数据库
D.集中式管控","答案：D。
解析：OceanBase 是对等节点无共享（Shared-Nothing）分布式架构，没有传统的集中式存储或管控单点瓶颈。RootService 只是逻辑总控。","单选题"
"[单选题] 17、OceanBase的产品体系中，数据库内核的兼容性基于什么？
A.MySQL
B.PostgreSQL
C.完全自主研发，同时兼容MySQL和Oracle
D.基于开源分支","答案：C。
解析：OceanBase 是蚂蚁集团完全自主研发的原生分布式数据库，不基于任何开源产品分支，并在内核层面实现了对 MySQL 和 Oracle 的高度兼容。","单选题"
"[单选题] 18、OceanBase的存储结构被称为？
A.准内存数据库
B.纯硬盘数据库
C.纯内存数据库
D.内存数据库","答案：A。
解析：OceanBase 被称为“准内存数据库”，因为它的增量修改（DML）都在内存中完成（MemTable），而基线数据存储在磁盘中（SSTable）。","单选题"
"[单选题] 19、OceanBase 可以支持极高写性能的核心存储引擎架构是？
A. COLA
B. LSM-TREE
C. Key-Value
D. BTREE","答案：B。
解析：基于 LSM-Tree（日志结构合并树）架构，OceanBase 将随机写转化为内存中的顺序写，极大地提升了写入性能。","单选题"
"[单选题] 20、OceanBase 数据库推荐使用的磁盘介质是什么？
A. SAS 机械盘
B. SSD 固态盘
C. SAS 机械盘 + SSD 固态盘
D. 磁带","答案：B。
解析：为了保证生产环境的读写性能，OceanBase 强力推荐且主要依赖 SSD 固态盘作为存储介质。","单选题"
"[单选题] 21、OceanBase 把内存中增量数据，合并到磁盘基线数据的过程称为什么？
A. 转储
B. 合并
C. 刷新
D. 压缩","答案：B。
解析：合并（Major Freeze）是指将内存中的 MemTable 增量数据与磁盘中的 SSTable 基线数据进行合并，生成新的基线 SSTable 的过程。","单选题"
"[单选题] 22、为了达到更好的压缩效果，OceanBase 一般推荐进行几次压缩？
A. 1 次
B. 2 次
C. 3 次
D. 4 次","答案：B。
解析：OceanBase 通常在合并时采用两级压缩技术（底层编码压缩 + 通用块压缩），以达到极高的数据压缩比。","单选题"
"[单选题] 23、关于 OceanBase 数据库主键特点，说法错误的是：
A. 保证数据唯一
B. 不能为空
C. 强制要求用户必须建立主键
D. 业务上可以不显式定义主键","答案：C。
解析：虽然推荐用户建立主键，但并非强制。如果用户不显式定义主键，OceanBase 会在底层隐式创建一个隐藏的主键（类似 rowid）来保证数据组织的正确性。","单选题"
"[单选题] 24、OceanBase 使用哪种机制解决读写并发冲突？
A. MVCC
B. Paxos 协议
C. 全局锁
D. 读写锁","答案：A。
解析：多版本并发控制（MVCC）机制使得读操作可以读取数据的历史版本，从而实现了读写互不阻塞，解决了读写并发冲突。","单选题"
"[单选题] 25、OceanBase 使用哪种机制保证跨节点分布式事务的原子性？
A. 一阶段提交
B. 两阶段提交
C. 三阶段提交
D. MVCC","答案：B。
解析：对于涉及多个节点的分布式事务，OceanBase 内置了优化的两阶段提交（2PC）协议来保证事务的原子性（要么全成功，要么全失败）。","单选题"
"[单选题] 26、两阶段提交协议中，谁是协调者？
A. OB Proxy
B. 接收请求的任意 OB Server
C. RootService 总控服务
D. 发起该事务的日志流 Leader 所在的 OB Server","答案：D。
解析：在 OceanBase 中，分布式事务的协调者（Coordinator）通常是该事务第一条语句所访问的数据所在的日志流 Leader，即发起该事务参与的 OBServer。","单选题"
"[单选题] 27、对于 Primary Zone 配置副本，OceanBase 支持哪种级别的容灾调度？
A. 租户级别
B. 数据库级别
C. 表级别
D. 表组级别","答案：A。
解析：Primary Zone 决定了 Leader 副本的分布偏好。在 OceanBase 中，Primary Zone 是在“租户”级别进行配置和调度的。","单选题"
"[单选题] 28、建立 table group 的主要目的是？
A. 方便业务表按照业务功能分类
B. 减少跨节点分布式事务
C. SQL 优化器能够识别
D. 更好的实现负载均衡","答案：B。
解析：Tablegroup 将经常进行 Join 的关联表绑定在一起，使得它们的对应分区调度到同一台节点上，将跨机分布式事务转化为单机事务，提升性能。","单选题"
"[单选题] 29、当集群中某节点宕机时，OceanBase 首先切换的服务级别是什么？
A. 整个集群
B. 租户级别
C. 数据库级别
D. 领导者副本的日志流 (Partition/LogStream Leader)","答案：D。
解析：节点宕机后，Paxos 协议会在秒级内自动为该节点上的所有 Leader 副本（日志流）在其他存活节点上重新选举出新的 Leader，恢复服务。","单选题"
"[单选题] 30、3个Zone，2个同城，1个异地，同城一个机房宕机，下列说法正确的是：
A. 强一致同步延迟变大
B. 会丢失秒级数据
C. 集群不可用
D. 合并业务基本不受影响","答案：A。
解析：同城机房宕机后，原本的同城多数派被打破，剩下的节点（1个同城+1个异地）仍能构成多数派继续服务。但因为同步需要跨城，强一致同步网络延迟会变大。数据不会丢失(RPO=0)。","单选题"
"[单选题] 31、如果从传统 Oracle 业务迁移到 OceanBase，需要进行实时同步，推荐使用哪个工具？
A. OCP
B. DataX
C. OMS
D. ODC","答案：C。
解析：OMS (OceanBase Migration Service) 提供了从 Oracle、MySQL 等异构数据库到 OceanBase 的全量迁移和增量实时同步功能。","单选题"
"[单选题] 32、关于 OceanBase 资源隔离，以下哪一项是正确的？
A. 集群资源隔离
B. 数据库级隔离
C. schema 隔离
D. 租户级物理隔离","答案：D。
解析：OceanBase 的多租户架构实现了租户级别的物理资源（CPU、内存）严格隔离。","单选题"
"[单选题] 33、哪个组件负责全集群资源分配、全局 DDL、集群数据合并调度等功能？
A. OB Proxy
B. RootService 总控服务
C. OCP 运维平台
D. ODC 开发者工具","答案：B。
解析：RootService（简称 RS）是 OceanBase 集群的内置总控服务，负责全局元数据管理、DDL、资源调度和合并控制。","单选题"
"[单选题] 34、哪个客户端工具可以直接连接 Oracle 租户进行业务开发？
A. OBClient (OceanBase 客户端) / ODC
B. 标准 MySQL 客户端
C. OCP 运维平台
D. Navicat","答案：A。
解析：Oracle 模式租户必须使用 OceanBase 定制的客户端（OBClient）或开发者工具（ODC）、驱动进行连接。标准 MySQL 客户端无法连接 Oracle 租户。","单选题"
"[单选题] 35、5个Zone，每个Zone有10台OB Server，一个分区日志流在集群中全部的副本数是？
A. 10
B. 3
C. 6
D. 5","答案：D。
解析：通常情况下，副本是跨 Zone 分布的，一个 Zone 内只保留该日志流的一个副本。5个 Zone 则共有 5 个副本。","单选题"
"[单选题] 36、关于 RootService 总控服务，说法正确的是：
A. 每个Zone会有一个主控OB Server节点
B. 每个Zone有一个主控分区日志流
C. 整个集群只有一个主控Leader提供服务
D. 每台OB Server都会有一个","答案：C。
解析：RootService 本质上也是一个特殊的系统内部表（__all_core 等）的 Leader 副本，整个集群只有一个 RootService Leader 提供总控服务。","单选题"
"[单选题] 37、3机房3Zone部署，关于 Root Service 说法正确的是：
A. 整个集群只有一个主控Leader
B. 每个机房一个主控
C. 每个 observer 上都有 RootService提供服务
D. Root Service 不是必须的","答案：A。
解析：无论多少个机房或 Zone，RootService 始终是由 Paxos 选举产生的一个唯一 Leader 节点来提供全局服务。","单选题"
"[单选题] 38、3个Zone，每Zone 5台OB Server，租户资源 Unit Num=4，请问有多少个节点上有该租户资源单元？
A. 3
B. 5
C. 12
D. 15","答案：C。
解析：Unit Num=4 表示该租户在每个 Zone 内部被分配了 4 个资源单元（Unit）。共有 3 个 Zone，所以总计在 4 * 3 = 12 个节点上分配了资源。","单选题"
"[单选题] 39、OceanBase 租户资源的分配方式是：内存是 ___，CPU 是 ___？
A. 共享分配，独占分配
B. 独占分配，共享分配
C. 独占分配，独占分配
D. 共享分配，共享分配","答案：B。
解析：在租户资源隔离中，内存是严格的独占分配（物理预留），不可超卖；而 CPU 是通过 cgroup 进行共享分配控制，支持超卖。","单选题"
"[单选题] 40、关于 OceanBase 集群升级，说法正确的是：
A. 需要维护人员停业务停机
B. 需要业务应用修改代码
C. 支持动态轮转升级，对业务透明
D. 必须使用高性能物理机替换","答案：C。
解析：得益于多副本和高可用架构，OceanBase 支持逐个节点的动态轮转升级（Rolling Upgrade），升级过程中业务不受影响（零停机）。","单选题"
"[单选题] 41、哪个平台提供图形化界面，支持集群管理、租户管理、性能监控和告警？
A. ODC
B. OCP
C. OB Proxy
D. OB Server","答案：B。
解析：OCP (OceanBase Control Platform) 是官方的白屏化全生命周期运维管理平台。","单选题"
"[单选题] 42、关于全能副本，说法正确的是：
A. 有 MemTable 和 SSTable，参与投票，可快速恢复为 leader
B. 没有日志
C. 不参与投票
D. 没有数据只有日志","答案：A。
解析：全能副本（Full Replica）包含完整的日志和数据（MemTable + SSTable），参与 Paxos 投票选举，并且可以被选举为 Leader 提供读写服务。","单选题"
"[单选题] 43、OceanBase 支持哪些分区类型？
A. Hash、List、Range
B. Hash、List
C. 只有 Range
D. 只有 Hash","答案：A。
解析：OceanBase 支持主流的关系型数据库分区策略，包括 Range（范围）、List（列表）和 Hash（哈希）等一级和二级分区。","单选题"
"[单选题] 44、OceanBase 有哪些主要的副本类型？
A. 全能副本、日志副本、只读副本
B. 全能副本、数据副本
C. 读写副本、只读副本
D. 主副本、备副本","答案：A。
解析：在 V4.0 及之前的版本中，常见的副本类型包括全能副本、仅同步日志不存数据的日志副本，以及不参与投票的只读副本（Readonly Replica）。","单选题"
"[单选题] 45、OceanBase 商业版支持哪种数据库 SQL 语法兼容？
A. MySQL
B. 仅 Oracle
C. 仅 DB2
D. 同时兼容 MySQL 和 Oracle","答案：D。
解析：OceanBase 的多租户架构允许在同一个集群内创建 MySQL 兼容模式租户和 Oracle 兼容模式租户。","单选题"
"[单选题] 46、OBProxy（OceanBase 代理服务器）默认监听客户端连接的端口是？
A. 2881
B. 2882
C. 2883
D. 2884","答案：C。
解析：OBProxy 默认监听 2883 端口处理客户端的 SQL 请求；而 OBServer 的 SQL 监听端口默认是 2881，RPC 端口是 2882。","单选题"
"[单选题] 47、在 OceanBase 数据库中，用于内部节点间通信的 RPC 端口默认是？
A. 2881
B. 2882
C. 2883
D. 2884","答案：B。
解析：OBServer 节点之间通过 RPC 协议进行内部通信（如 Paxos 日志同步、分布式执行调度等），默认端口为 2882。","单选题"
"[单选题] 48、关于 OceanBase 的备份恢复机制，物理备份主要备份的是什么？
A. 仅有数据文件 (SSTable)
B. 仅有日志文件 (Clog)
C. 数据文件 (SSTable) + 增量事务日志 (Clog)
D. 逻辑 SQL 脚本","答案：C。
解析：物理备份包括基线数据（Data Backup，即 SSTable）和日志归档（Log Archive，即 Clog 日志）。结合这两者可以实现任意时间点恢复 (PITR)。","单选题"
