题号,题目(正面),答案(背面),题型
11,以下哪项不是存储引擎需要完成的主要功能？ A.数据存储 B. 数据读取 C. 数据分析 D. 数据合并,"正确答案：C

详细解析
数据库系统通常分为 SQL 引擎（计算引擎）与存储引擎两大核心子系统：
C 项（数据分析）：不是存储引擎的主要功能（符合题意）
复杂的数据分析（如大规模聚合运算、多表关联 JOIN、窗口函数计算、优化器执行计划生成等）属于 SQL 计算引擎 / 执行引擎 的核心职责。
A 项（数据存储）：是存储引擎的核心功能，负责将写入/更新的数据持久化到内存和底层磁盘中。
B 项（数据读取）：是存储引擎的核心功能，根据上层请求检索底层数据块并管理缓存。
D 项（数据合并 / Compaction）：是存储引擎的核心功能，负责内存增量（MemTable）与磁盘基线（SSTable）的冻结、转储与大合并。",单选题
12,OceanBase数据库中的多副本使用以下哪一种算法来确保分布式环境下的一致性？ A. Raft B. Paxos C. Quorum D. Zab,"正确答案：B

详细解析
B 项正确（Paxos）：
OceanBase 数据库内核采用自研的 Multi-Paxos 分布式共识算法来管理多副本之间的日志同步与选主，确保在分布式网络通信环境下达成多数派强一致性与金融级高可用（RPO=0，RTO<8s）。
A 项（Raft）、C 项（Quorum 机制模型）、D 项（ZAB 协议）均非 OceanBase 底层的核心共识算法。",单选题
13,在OceanBase数据库中，涉及多个分区的事务或者多个分区的写入，这种事务被称为什么类型的事务？ A. 内部事务 B. 分布式事务 C. XA事务 D. 单元事务,"正确答案：B

详细解析
B 项正确（分布式事务）：
在 OceanBase 数据库中，事务根据涉及的数据分区（Partition）或日志流（Log Stream）范围进行分类：
本地事务（Local Transaction）：事务操作的所有数据仅位于单个分区（或同一个日志流节点）上，无需跨节点协同。
分布式事务（Distributed Transaction）：事务的操作跨越了多个不同分区（或跨多个日志流/多个服务器节点）。此时需要通过两阶段提交协议（2PC）配合全局时间戳（GTS）来协调所有参与者，保证事务的 ACID 特性。
A 项错误（内部事务）：指数据库系统自身后台运行的元数据维护、转储合并触发等内部管理逻辑产生的事务。
C 项错误（XA 事务）：指遵循 X/Open XA 规范、由外部应用或外部事务管理器协调的分布式事务。",单选题
14,为了达到更好的压缩效果，OceanBase一般推荐进行几次压缩？ A 1次 B 2次 C 3次 D 4次,"正确答案：B

详细解析
OceanBase 独创了两级压缩（即 2 次压缩）技术，在大合并（Major Compaction）写入基线数据 SSTable 时按顺序执行两层压缩处理，以平衡性能与存储成本：
第一次：基于数据特征的高级编码（Encoding）
在微块（Micro Block）内部，针对不同数据类型的特征自适应选择模式转换、字典编码（Dictionary）、游程编码（RLE）、前缀编码（Prefix）、差分编码等轻量级编码算法。
第二次：通用压缩算法（General Compression）
经过第一层编码后的数据块，会再送入通用的无损数据压缩算法（如 LZ4、zstd、Snappy 等）进行二次物理压缩。
通过 2 次压缩机制，OceanBase 通常可以实现高达 70%~90% 的综合压缩率。",单选题
15,相比于集中式数据库，下列哪项是分布式数据库在事务处理上带来的挑战？ A. 网络通信的不可靠 B. 节点故障的影响 C. 数据一致性的挑战 D. 性能下降,"正确答案：C

详细解析
相比于集中式数据库，分布式数据库将数据切片存放在多个网络节点上，面临的主要挑战包括网络不可靠、部分节点故障以及数据一致性保证。
其中：
C 项（数据一致性的挑战）：是分布式事务处理中最核心、最本质的挑战。要实现全局一致的隔离性与原子性，必须引入复杂的共识算法（Paxos）与全局时序服务（GTS）。
在单选题标准答案中通常对应 C 项。",单选题
16,使用 JDBC连接Oracle租户时，需要使用哪个JDBC驱动？ A、 MySQL标准JDBC驱动 B、Oracle标准JDBC驱动 C、OceanBase自己开发的JDBC驱动,"正确答案：C

详细解析
C 项正确（OceanBase 自己开发的 JDBC 驱动）：
连接 OceanBase 的 Oracle 模式租户时，必须使用 OceanBase 官方自研的 JDBC 驱动（OceanBase Connector/J）。该驱动兼容了 Oracle 的语法特性、数据类型与交互协议，驱动类名通常为 com.oceanbase.jdbc.Driver，URL 格式为 jdbc:oceanbase://...。
B 项错误（Oracle 标准 JDBC 驱动）：标准 Oracle JDBC 驱动（如 ojdbc）基于 Oracle 专有的底层通信协议（TNS / Net8），无法直接连接 OceanBase。
A 项错误（MySQL 标准 JDBC 驱动）：仅适用于连接 OceanBase 的 MySQL 租户。",单选题
17,"针对慢查询的优化，以下描述不正确的是________？  A、通过 GV$OB_SQL_AUDIT 可以定位慢查询  B、GV$OB_SQL_AUDIT 中 elapsed_time，execute_time 以及 queue_time 分别代表总耗时,执行时间以及排队时间  C、通过 explain 查看的是真实的执行计划","正确答案：C

详细解析
C 项描述不正确（符合题意）：
通过 EXPLAIN 命令查看的是优化器在编译期生成的逻辑/物理执行计划（即预估执行计划），其中显示的行数、代价等都是基于统计信息预估的。真实的物理执行路径与实际耗时分布，需要通过 SQL Plan Monitor（GV$SQL_PLAN_MONITOR）或 Plan Cache 视图来查看。
A 项描述正确：GV$OB_SQL_AUDIT 视图记录了集群各节点执行的每一条 SQL 请求的元数据及耗时信息，可快速定位慢 SQL。
B 项描述正确：elapsed_time 代表总耗时，execute_time 代表实际执行时间，queue_time 代表排队时间。",单选题
18,以下哪项不属于OceanBase数据库DBA日常工作内容？ A. 数据库安装 B. 应用SQL改写 C. 数据库性能优化 D. 数据备份,"正确答案：B

详细解析
B 项（应用 SQL 改写）：不属于 DBA 日常工作核心范畴（符合题意）
业务层面的 SQL 逻辑编写与改写（如业务逻辑调整、代码层面的 SQL 重构）主要是应用开发人员（Application Developer）的职责。DBA 会提供性能调优建议，但直接改写业务应用程序中的 SQL 属于研发范畴。
A 项（数据库安装）、C 项（数据库性能优化）、D 项（数据备份）均属于 DBA 的日常核心工作。",单选题
19,ASH报告主要用于排查系统资源是否瓶颈，它依赖于？ A.日志 B. OCP Agent C. 存储 D.活动会话历史视图,"正确答案：D

详细解析
D 项正确（活动会话历史视图）：
ASH（Active Session History，活动会话历史）报告是性能诊断的核心工具之一。系统以固定频率（通常每秒 1 次）对所有处于活跃状态的会话进行快照采样并记录在活动会话历史视图（如 GV$ACTIVE_SESSION_HISTORY / V$ACTIVE_SESSION_HISTORY）中。生成 ASH 报告时直接依托这些视图中记录的会话状态、等待事件、SQL ID 及资源消耗进行聚合分析。",单选题
20,OBServer全链路追踪数据存储在哪个日志文件？ A.observer.log B. election.log C. trace.log D.rootservice.log,"正确答案：C

详细解析
OceanBase 数据库各类运行与诊断日志分工如下：
C 项正确（trace.log）：专门记录全链路追踪（Trace / Full Link Trace）相关的 span、tag 以及 SQL 在各个组件间流转的调用链路耗时信息。
A 项（observer.log）：OBServer 主系统运行日志。
B 项（election.log）：Paxos 多副本分布式选举相关日志。
D 项（rootservice.log）：总控服务（RootService）集群管控日志。",单选题
21,"OceanBase 产品体系中,哪一款是数据迁移的工具? A OMS B OMA C OAS D OCP","正确答案：A

详细解析
A 项正确（OMS - OceanBase Migration Service）：
OMS 是官方提供的数据传输与迁移服务，支持异构数据库与 OceanBase 之间的一站式数据迁移与实时增量同步。
B 项（OMA）：数据迁移评估工具，用于迁移前的兼容性评估与改写建议。
C 项（OAS）：数据库自治服务，提供智能诊断与优化。
D 项（OCP）：云平台运维管控工具，用于集群管理与监控。",单选题
22,OceanBase的总控服务提供很多功能，但不包括？ A 管理Paxos选举 B 同步数据日志 C 集群自动容灾调度 D 租户资源管理,"正确答案：B

详细解析
B 项（同步数据日志）：不属于总控服务的功能（符合题意）
数据事务日志（Clog / PALF 日志）的持久化与网络同步是由各个日志流（Log Stream）底层的分布式共识与日志复制引擎（Paxos/PALF 模块）在副本节点之间以点对点（P2P）RPC 方式直接完成的，完全不经过总控服务（RootService）。
A 项（管理 Paxos 选举）、C 项（集群自动容灾调度）、D 项（租户资源管理）均属于总控服务的核心功能范畴。",单选题
23,OceanBase的RootService服务不包含以下哪项? A 容灾管理 B 负载均衡 C 数据加密 D schema管理,"正确答案：C

详细解析
C 项（数据加密）：不属于 RootService 的功能（符合题意）
透明数据加密（TDE）等数据加解密功能属于存储引擎层的职责，在数据落盘时由本地存储层调用加密算法执行加解密计算。
A 项（容灾管理）、B 项（负载均衡）、D 项（Schema 管理）均为 RootService 的核心功能。",单选题
24,"在衡量数据库的高可用能力时,RPO指标指代什么? A 业务恢复时间 B 数据同步延迟 C 故障数据恢复率 D 丢失数据量","正确答案：D

详细解析
在衡量数据库及容灾系统的高可用与容灾能力时：
RPO（Recovery Point Objective，恢复点目标 / 丢失数据量，D 项）：指系统发生故障后允许丢失的最大数据量。RPO=0 表示零数据丢失。
RTO（Recovery Time Objective，恢复时间目标 / 业务恢复时间，A 项）：指系统发生故障到业务恢复正常对外服务所需的时间。",单选题
25,OceanBase的哪个周边产品能够提供数据库监控指标，以及全链路诊断? A OMS B ODP C OCP D 总控服务,"正确答案：C

详细解析
C 项正确（OCP - OceanBase Cloud Platform）：
OCP 是企业级云平台管理与运维管控中心。它提供集群/主机/租户维度的丰富性能与资源监控指标，并深度集成了全链路追踪与诊断（Full Link Trace）功能，能够白屏化直观展示完整调用链路耗时与性能瓶颈。
A 项（OMS）：数据迁移与同步服务。
B 项（ODP / OBProxy）：数据库访问代理/路由组件。
D 项（RootService）：内核运行的总控管理模块。",单选题
26,"为了达到更好的压缩效果,OceanBase一般推荐进行几次压缩? A 1次 B 2次 C 3次 D 4次","正确答案：B

详细解析
OceanBase 数据库独创了两级压缩机制（即 2 次压缩）。在基线数据进行大合并（Major Compaction）持久化落盘时，微块会依次经过：
第一次压缩：基于数据特征的高级编码（Encoding，如字典、前缀、游程编码等，支持不解压直接过滤计算）。
第二次压缩：通用物理压缩（General Compression，如 LZ4、zstd 等无损压缩）。
综合实现 70%~90% 的数据压缩率并保障极高读取性能。",单选题
27,"在OceanBase数据库中,数据的编码压缩主要发生在哪个阶段? A 内存写入阶段 B 数据读取阶段 C 数据合并阶段 D 数据转储阶段","正确答案：C

详细解析
C 项正确（数据合并阶段 / Major Compaction）：
OceanBase 的两级压缩机制（高级特征编码 + 通用压缩算法）主要且最彻底地发生在大合并（Major Compaction）阶段。此时系统掌握该分区的全局完整数据，进行全局模式分析并对微块执行深度编码与二次压缩。
A 项（内存写入阶段）：写入 MemTable，保持未压缩以保障极速写入。
B 项（数据读取阶段）：执行解压与解码。
D 项（数据转储阶段）：快速刷盘以释放内存，通常只进行轻量级压缩。",单选题
28,OceanBase数据库通过哪种方式实现了高并发的分布式执行? A 单线程处理 B 硬件加速 C 分布式执行引擎 D 硬件网卡优化,"正确答案：C

详细解析
C 项正确（分布式执行引擎）：
OceanBase 自研了强大的分布式执行引擎与并行执行框架（Parallel Execution / PX）。面对复杂 SQL 与多分区查询时，优化器生成分布式执行计划，分布式执行引擎将任务切分为子任务并行调度到各节点的工作线程协同计算，实现高并发、高吞吐的分布式计算能力。",单选题
29,"在OceanBase数据库中,哪个组件负责接收SQL语句并为SQL执行选择合适的执行计划? A ODP(OBProxy) B SQL引擎 C 存储引擎 D 总控服务","正确答案：B

详细解析
B 项正确（SQL 引擎 / SQL Engine）：
SQL 引擎是 OBServer 内核中负责 SQL 处理的核心计算组件。依次进行词法/语法解析、语义分析与查询改写、基于代价的优化器（CBO）生成最优执行计划以及执行器调度执行。
A 项（ODP / OBProxy）：负责路由转发。
C 项（存储引擎）：负责底层数据读写与存储。
D 项（总控服务）：负责集群管控调度。",单选题
30,OceanBase数据库的底层存储引擎主要是针对读多写少的场景优化设计的什么架构? A B-Tree B LSM-Tree C Hash D 堆文件组织,"正确答案：B

详细解析
B 项正确（LSM-Tree 架构）：
OceanBase 采用了基于 LSM-Tree 改进的存储引擎架构。写操作在内存 MemTable 完成并记录 Clog；读操作结合多级缓存（Row Cache、Block Cache、Bloom Filter Cache 等）、微块索引与只读 SSTable 进行多版本归并，既拥有极高的写入吞吐，又针对读多写少的 OLTP/OLAP 业务提供了极致的查询性能。",单选题
31,"OceanBase数据库执行计划缓存(Plan Cache)的主要作用是什么? A 提高DML插入数据的效率 B 提高SELECT读取数据的效率 C 让SQL解析器自动优化 D 避免SQL硬解析,提高SQL执行效率","正确答案：D

详细解析
D 项正确（避免 SQL 硬解析，提高 SQL 执行效率）：
Plan Cache（执行计划缓存）用于避免相同或参数化同构 SQL 重复进行繁重的语法解析、语义分析与优化器寻优计算（即由硬解析转为软解析），从而显著降低 CPU 消耗、减少响应延迟并大幅提升系统吞吐量。",单选题
32,"为了能自动化安装部署OceanBase数据库时,我们需要将不同类型的数据分别放在不同目录,以下哪个目录可以不单独划分? A /home B /root C /data/log1 D /data/1","正确答案：B

详细解析
B 项（/root 目录）：可以不单独划分（符合题意）
/root 是 Linux 系统的超级用户主目录。OceanBase 官方要求数据库以普通用户（admin 用户）运行，不依赖 /root 目录。
A 项（/home）：存放软件安装包与运行日志，建议独立划分以防打满根分区。
C 项（/data/log1）：事务日志（Clog）目录，必须独立挂载在高性能磁盘上。
D 项（/data/1）：基线数据（SSTable）目录，必须独立划分大容量存储。",单选题
33,以下哪个工具可以用来自动化安装部署OceanBase集群? A OBD B OCP C OAT D ODC,"正确答案：A

详细解析
A 项正确（OBD - OceanBase Deployer）：
OBD 是官方专门提供的轻量级自动化安装与部署运维 CLI 工具，通过 YAML 配置文件或命令行一键完成环境预检、安装分发、初始化与集群启动。
B 项（OCP）亦具备白屏化部署集群能力，在官方标准单选题中部署工具通常首选 A. OBD。",单选题
34,下列哪项日常运维操作不能通过OCP来执行? A、重启OBserver B、升级硬件 C、替换OBserver D、升级集群,"正确答案：B

详细解析
B 项（升级硬件）：不能通过 OCP 来执行（符合题意）
升级硬件属于底层物理服务器或虚拟机的物理硬件变更（如更换 CPU、内存条、磁盘），OCP 作为软件层运维管理平台无法替代物理基础设施操作。
A 项（重启 OBServer）、C 项（替换故障 OBServer 节点）、D 项（滚动升级集群版本）均支持在 OCP 控制台中直接操作。",单选题
35,下列哪一项不属于OceanBase内核提供的监控诊断工具? A、OAS B、WR 和ASH C、SQL Trace D、系统内部视图,"正确答案：A

详细解析
A 项（OAS - OceanBase Analytics Suite / 自治服务套件）：不属于内核原生组件（符合题意）
OAS 属于外部智能自治与分析工具套件。
B 项（WR 和 ASH 报告）、C 项（SQL Trace 全链路追踪）、D 项（系统内部动态性能视图如 GV$OB_SQL_AUDIT）均属于 OceanBase 内核自带原生提供的监控与诊断能力。",单选题
36,"假设一个5节点的OceanBase集群,最多允许几个节点故障而集群依然可用? A.1 B.2 C.3 D.4","正确答案：B

详细解析
B 项正确（2 个节点）：
在典型的 5 副本（5 节点）Paxos 部署架构中，达成共识所需的多数派为：⌊5/2⌋ + 1 = 3 个节点。
因此最大可容忍的故障节点数为：5 - 3 = 2 个节点。只要存活节点数 ≥ 3，集群即可正常进行 Paxos 投票与选主，保证数据一致性与服务可用性。",单选题
37,OceanBase 使用什么协议达成高可用和强一致性？ A. 主从同步 + Paxos 协议 B. 读写分离 + 高可用同步协议 C. 日志同步 + 高可用同步协议 D. 多副本 + Paxos 协议,"正确答案：D

详细解析
D 项正确（多副本 + Paxos 协议）：
OceanBase 的高可用与强一致性核心基石是基于多副本（Multi-Replica）的分布式 Paxos 共识协议（Multi-Paxos）。事务日志必须同步到多数派副本落盘确认后才提交，少数派故障时秒级自动选主恢复，实现 RPO=0 和 RTO<8s。",单选题
38,OceanBase 默认以什么为单位组建 Paxos 协议组？ A. 租户 B. 数据库 C. 表 D. 分区 (或日志流),"正确答案：D

详细解析
D 项正确（分区 / 日志流）：
在 OceanBase 1.x~3.x 中，以分区（Partition）为单位组建 Paxos 复制组；在 OceanBase 4.x 中，以日志流（Log Stream）为基本单位组建 Paxos 协议组。在认证考试体系中，分区/日志流始终是组建 Paxos 复制组的基本单元。",单选题
39,当应用向数据库写入事务时，默认会同步等待什么日志同步到多数派节点？ A. Redo-Log 日志 B. 系统日志 C. Undo-log 日志 D. 审计信息,"正确答案：A

详细解析
A 项正确（Redo-Log 日志 / Clog）：
在事务提交流程中，事务修改产生的重做日志（Redo-Log / Clog）必须通过 Paxos 协议向多副本节点广播，并在多数派副本完成持久化落盘确认后，事务才算正式提交成功并返回客户端，从而保证已提交事务零丢失。",单选题
40,OceanBase 内核采用的选举协议是？ A. Paxos B. Raft C. Zookeeper D. ZAB,"正确答案：A

详细解析
A 项正确（Paxos）：
OceanBase 内核深度自研并采用了 Multi-Paxos 分布式共识协议作为其底层选举与日志复制的核心协议。各日志流副本组通过基于 Paxos 的无共享去中心化选举算法配合 Lease（租约）机制自主推选 Leader，无需依赖外部协调组件。",单选题
